Date,Open,High,Low,Close,Volume,Adj Close
2017-06-14 09:51:17,985.99,985.99,985.99,985.99,660463,985.99
2017-06-14 09:52:18,986.01,986.01,986.01,986.01,660463,986.01
2017-06-14 09:53:11,985.98,985.98,985.98,985.98,660463,985.98
2017-06-14 09:54:19,987.28,987.28,987.28,987.28,660463,987.28
2017-06-14 09:55:23,988.24,988.24,988.24,988.24,660463,988.24
2017-06-14 09:56:22,987.64,987.64,987.64,987.64,660463,987.64
2017-06-14 09:57:22,989.43,989.43,989.43,989.43,660463,989.43
2017-06-14 09:58:22,988.82,988.82,988.82,988.82,660463,988.82
2017-06-14 09:59:23,990.0,990.0,990.0,990.0,660463,990.0
2017-06-14 10:00:21,988.98,988.98,988.98,988.98,660463,988.98
2017-06-14 10:01:26,989.11,989.11,989.11,989.11,660463,989.11
2017-06-14 10:02:27,988.16,988.16,988.16,988.16,660463,988.16
2017-06-14 10:03:23,987.71,987.71,987.71,987.71,660463,987.71
2017-06-14 10:04:26,988.33,988.33,988.33,988.33,660463,988.33
2017-06-14 10:05:25,988.27,988.27,988.27,988.27,660463,988.27
2017-06-14 10:06:25,988.62,988.62,988.62,988.62,660463,988.62
2017-06-14 10:07:27,988.82,988.82,988.82,988.82,660463,988.82
2017-06-14 10:08:29,987.92,987.92,987.92,987.92,660463,987.92
2017-06-14 10:09:36,988.78,988.78,988.78,988.78,660463,988.78
2017-06-14 10:10:36,987.35,987.35,987.35,987.35,660463,987.35
2017-06-14 10:11:35,987.39,987.39,987.39,987.39,660463,987.39
2017-06-14 10:12:39,988.11,988.11,988.11,988.11,660463,988.11
2017-06-14 10:13:35,987.01,987.01,987.01,987.01,660463,987.01
2017-06-14 10:14:41,986.0,986.0,986.0,986.0,660463,986.0
2017-06-14 10:15:35,984.53,984.53,984.53,984.53,660463,984.53
2017-06-14 10:16:37,985.0,985.0,985.0,985.0,660463,985.0
2017-06-14 10:17:41,985.68,985.68,985.68,985.68,660463,985.68
2017-06-14 10:18:39,985.6,985.6,985.6,985.6,660463,985.6
2017-06-14 10:19:35,986.6,986.6,986.6,986.6,660463,986.6
2017-06-14 10:20:38,985.84,985.84,985.84,985.84,660463,985.84
2017-06-14 10:21:43,985.78,985.78,985.78,985.78,660463,985.78
2017-06-14 10:22:42,986.54,986.54,986.54,986.54,660463,986.54
2017-06-14 10:23:43,986.57,986.57,986.57,986.57,660463,986.57
2017-06-14 10:24:43,987.62,987.62,987.62,987.62,660463,987.62
2017-06-14 10:25:48,986.94,986.94,986.94,986.94,660463,986.94
2017-06-14 10:26:48,987.24,987.24,987.24,987.24,660463,987.24
2017-06-14 10:27:40,987.03,987.03,987.03,987.03,660463,987.03
2017-06-14 10:28:50,988.15,988.15,988.15,988.15,660463,988.15
2017-06-14 10:29:47,986.99,986.99,986.99,986.99,660463,986.99
2017-06-14 10:30:50,987.37,987.37,987.37,987.37,660463,987.37
2017-06-14 10:31:51,987.81,987.81,987.81,987.81,660463,987.81
2017-06-14 10:32:52,987.98,987.98,987.98,987.98,660463,987.98
2017-06-14 10:33:44,987.29,987.29,987.29,987.29,660463,987.29
2017-06-14 10:34:47,986.5,986.5,986.5,986.5,660463,986.5
2017-06-14 10:35:36,985.58,985.58,985.58,985.58,660463,985.58
2017-06-14 10:36:52,987.17,987.17,987.17,987.17,660463,987.17
2017-06-14 10:37:52,987.24,987.24,987.24,987.24,660463,987.24
2017-06-14 10:38:32,987.23,987.23,987.23,987.23,660463,987.23
2017-06-14 10:39:51,987.94,987.94,987.94,987.94,660463,987.94
